room,date,price_real
Підмурна 24,2024-09-21,2500.0
Ковжуна 2/3,2024-09-21,2700.0
Шевченка 60,2024-09-21,2400.0
Цехова 9,2024-09-21,2500.0
Городоцька 31,2024-09-22,3500.0
Вірменська 13,2024-09-21,2600.0
Балабана 23,2024-09-21,4000.0
Мосяжна 4,2024-09-21,4000.0
Пекарська 32,2024-09-21,3600.0
Хмельницького 37,2024-09-21,2500.0
Франка 28,2024-09-22,2500.0
Шевченка 19,2024-09-21,2296.18
Ковжуна 2/4,2024-09-21,1550.0
ковжуна 2/8,2024-09-21,1650.0
Шевченка 38/1,2024-09-21,2400.0
Куліша 47а,2024-09-21,2623.94
Куліша 47а,2024-09-22,2623.94
Куліша 47а,2024-09-23,2623.94
Сербська 6/1,2024-09-21,1383.33
Сербська 6/1,2024-09-22,1383.33
Сербська 6/1,2024-09-23,1383.33
Ковжуна 2/7,2024-09-22,1375.0
Франка 14,2024-09-21,4000.0
Чайковського 26,2024-09-22,1600.0
Цехова 9,2024-09-22,1600.0
Шевченка 60,2024-09-22,1600.0
Шевченка 60,2024-09-23,1600.0
Шевченка 19,2024-09-22,1800.0
Шевченка 19,2024-09-23,1800.0
Шевченка 38/1,2024-09-22,1229.8
ковжуна 2/9,2024-09-22,1100.0
Балабана 23/1,2024-09-22,2100.0
Балабана 23/1,2024-09-23,2100.0
Балабана 23/1,2024-09-24,2100.0
Балабана 23/1,2024-09-25,2100.0
Балабана 23/1,2024-09-26,2100.0
Балабана 23/1,2024-09-27,2100.0
Вірменська 13,2024-09-22,1639.91
Вірменська 13,2024-09-23,1639.91
Пекарська 32,2024-09-22,2500.0
Ковжуна 2/4,2024-09-22,1200.0
Ковжуна 2/5,2024-09-22,902.18
Городоцька 31,2024-09-23,2295.97
Городоцька 31,2024-09-24,2295.97
Городоцька 31,2024-09-25,2295.97
Городоцька 31,2024-09-26,2295.97
Мосяжна 4,2024-09-22,3000.0
ковжуна 2/8,2024-09-22,1250.0
ковжуна 2/8,2024-09-23,1250.0
ковжуна 2/8,2024-09-24,1250.0
Газова 10,2024-09-22,1312.19
Наливайка 13,2024-09-22,1476.0
Наливайка 13,2024-09-23,1476.0
Наливайка 13,2024-09-24,1476.0
Хмельницького 37,2024-09-22,1400.0
Балабана 23,2024-09-22,3000.0
Балабана 23,2024-09-23,3000.0
Франка 14,2024-09-22,2800.0
Балабана 3,2024-09-23,2200.0
Балабана 3,2024-09-24,2200.0
Балабана 3,2024-09-25,2200.0
Балабана 3,2024-09-26,2200.0
Цехова 9,2024-09-23,1600.0
Пекарська 32,2024-09-23,2500.0
Франка 28,2024-09-23,1800.0
Хмельницького 37,2024-09-23,1400.0
Сербська 6,2024-09-23,1200.0
Джерельна 34,2024-09-23,2500.0
ковжуна 2/9,2024-09-23,901.94
ковжуна 2/9,2024-09-24,901.94
ковжуна 2/9,2024-09-25,901.94
Ковжуна 2/5,2024-09-23,901.85
Підмурна 24,2024-09-23,1311.81
Чорновола 1,2024-09-23,2049.83
Мосяжна 4,2024-09-23,2800.0
Шевченка 38/1,2024-09-23,1229.95
Шевченка 38/1,2024-09-24,1229.95
Франка 14,2024-09-23,2800.0
Франка 14,2024-09-24,2800.0
Франка 14,2024-09-25,2800.0
Газова 10,2024-09-24,1700.0
Цехова 9,2024-09-24,1700.0
Мосяжна 4,2024-09-24,2800.0
Сербська 6/1,2024-09-24,1100.0
Куліша 47а,2024-09-24,2800.0
Вірменська 13,2024-09-24,1800.0
Підмурна 24,2024-09-24,1500.0
Шевченка 60,2024-09-24,1700.0
Пекарська 32,2024-09-24,2800.0
Балабана 23,2024-09-24,3000.0
Ковжуна 2/4,2024-09-24,1100.0
Ковжуна 2/4,2024-09-25,1100.0
Чорновола 1,2024-09-24,2050.15
Ковжуна 2/5,2024-09-24,902.2
Шевченка 19,2024-09-24,1800.0
Сербська 6,2024-09-24,1200.0
Хмельницького 37,2024-09-24,1700.0
Хмельницького 37,2024-09-25,1700.0
ковжуна 2/8,2024-09-25,1100.0
Сербська 6/1,2024-09-25,1100.0
Мосяжна 4,2024-09-25,2800.0
Шевченка 19,2024-09-25,1800.0
Балабана 23,2024-09-25,3000.0
Газова 10,2024-09-25,2000.0
Газова 10,2024-09-26,2000.0
Газова 10,2024-09-27,2000.0
Підмурна 24,2024-09-25,1600.0
Підмурна 24,2024-09-26,1600.0
Чайковського 26,2024-09-25,1700.0
Чайковського 26,2024-09-26,1700.0
Вірменська 13,2024-09-25,1694.65
Вірменська 13,2024-09-26,1694.65
Вірменська 13,2024-09-27,1694.65
Наливайка 13,2024-09-25,1749.33
Наливайка 13,2024-09-26,1749.33
Наливайка 13,2024-09-27,1749.33
Сербська 6,2024-09-25,1200.0
Ковжуна 2/7,2024-09-25,1100.0
Ковжуна 2/3,2024-09-25,984.02
Ковжуна 2/5,2024-09-25,1024.99
Ковжуна 2/5,2024-09-26,1024.99
Ковжуна 2/5,2024-09-27,1024.99
Франка 14,2024-09-26,2600.0
Шевченка 38/1,2024-09-26,1500.0
Чайковського 26,2024-09-27,2000.0
Мосяжна 4,2024-09-26,2600.0
Балабана 23,2024-09-26,2800.0
